search_term,uniprot_accession,gene_name,description,ec_number,synonyms,location,keywords,go_terms,family,zinc_link,cansar_link,nearest_drug_target,matching_drug_target_50,matching_drug_target_35,number_of_3d_structure,number_of_3d_structure_with_small_molecule_ligand,number_of_3d_structure_with_druggability,number_of_3d_structure_druggable,percentage_of_3d_structure_druggable,number_of_3d_structure_tractable,percentage_of_3d_structure_tractable,ligand_druggability_score,ligand_druggability_percentile_rank,matching_protein_variants,screened_compounds,screened_compounds_active,screened_compounds_active_ro5,screened_fragments,screened_fragments_active,screened_fragments_active_ro5,most_prevalent_mutation,most_prevalent_cnv,highest_expressing_celllines
,Q01167,FOXK2,"Forkhead box protein K2",,"FOXK2_HUMAN, FOXK2, ILF, ILF1","Nucleus, Cytoplasm","Q01167 FOXK2_HUMAN Forkhead box protein K2 Q01167,A6NEP5,Q13622,Q13623,Q13624 G/T-mismatch specific binding protein, Interleukin enhancer-binding factor 1 ILF, ILF1","intracellular membrane-bounded organelle, mitochondrion, nuclear chromatin, nucleoplasm, nucleus",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=FOXK2_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q01167/,,,,2,0,2,0,0,1,50,-3,59,,,,,,,,,,
,O00409,FOXN3,"Forkhead box protein N3",,"FOXN3_HUMAN, FOXN3, C14orf116, CHES1",Nucleus,"O00409 FOXN3_HUMAN Forkhead box protein N3 O00409,Q96II7,Q9UIE7 Checkpoint suppressor 1 C14orf116, CHES1","nuclear chromatin, nucleus",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=FOXN3_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/O00409/,,,,2,0,2,0,0,0,0,-3,59,,,,,,,,,,
,O43524,FOXO3,"Forkhead box protein O3",,"FOXO3_HUMAN, FOXO3, FKHRL1, FOXO3A","Cytoplasm, Cytosol, Nucleus, Mitochondrion matrix, Mitochondrion outer membrane","O43524 FOXO3_HUMAN Forkhead box protein O3 O43524,B4DVZ6,E1P5E6,O15171,Q5T2I7,Q9BZ04 AF6q21 protein, Forkhead in rhabdomyosarcoma-like 1 FKHRL1, FOXO3A","cytoplasm, cytosol, mitochondrial matrix, mitochondrial outer membrane, nuclear chromatin, nucleoplasm, nucleus, protein-containing complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=FOXO3_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/O43524/,,,,5,1,4,0,0,1,25,1.1,91,1,3,0,0,2,0,0,,,
,Q9H334,FOXP1,"Forkhead box protein P1",,"FOXP1_HUMAN, FOXP1",Nucleus,"Q9H334 FOXP1_HUMAN Forkhead box protein P1 Q9H334,A3QVP8,B3KV70,G5E9V8,Q8NAN6,Q9BSG9,Q9H332,Q9H333,Q9P0R1 Mac-1-regulated forkhead ","nuclear chromatin, nucleoplasm, nucleus",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=FOXP1_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q9H334/,,,,1,0,1,1,100,1,100,-1.95,59,,,,,,,,,,
,Q9C009,FOXQ1,"Forkhead box protein Q1",,"FOXQ1_HUMAN, FOXQ1, HFH1",Nucleus,"Q9C009 FOXQ1_HUMAN Forkhead box protein Q1 Q9C009,Q9NS06 HNF-3/forkhead-like protein 1, Hepatocyte nuclear factor 3 forkhead homolog 1 HFH1","nuclear chromatin, nucleus",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=FOXQ1_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q9C009/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,Q06546,GABPA,"GA-binding protein alpha chain",,"GABPA_HUMAN, GABPA, E4TF1A",Nucleus,"Q06546 GABPA_HUMAN GA-binding protein alpha chain Q06546,Q12939 Nuclear respiratory factor 2 subunit alpha, Transcription factor E4TF1-60 E4TF1A","nuclear chromatin, nucleoplasm, nucleus","ETS family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=GABPA_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q06546/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,P23769,GATA2,"Endothelial transcription factor GATA-2",,"GATA2_HUMAN, GATA2",Nucleus,"P23769 GATA2_HUMAN Endothelial transcription factor GATA-2 P23769,D3DNB3,Q53YE0,Q96BH0,Q96BH8,Q9BUJ6 GATA-binding protein 2 ","cytoplasm, nucleoplasm, nucleus, protein-containing complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=GATA2_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P23769/,,,,1,0,1,0,0,0,0,-3,59,,,,,,,,,,
,Q92908,GATA6,"Transcription factor GATA-6",,"GATA6_HUMAN, GATA6",Nucleus,"Q92908 GATA6_HUMAN Transcription factor GATA-6 Q92908,B0YJ17,P78327 GATA-binding factor 6 ","nuclear chromatin, nuclear membrane, nucleoplasm, nucleus, transcription regulator complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=GATA6_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q92908/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,Q9BZE0,GLIS2,"Zinc finger protein GLIS2",,"GLIS2_HUMAN, GLIS2, NKL","Nucleus speckle, Cytoplasm","Q9BZE0 GLIS2_HUMAN Zinc finger protein GLIS2 Q9BZE0,B3KX84 GLI-similar 2, Neuronal Krueppel-like protein NKL","cytoplasm, non-motile cilium, nuclear speck, nucleus","GLI C2H2-type zinc-finger protein family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=GLIS2_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q9BZE0/,,,,0,0,0,0,0,0,0,0,80,,,,,,,,,,
,Q8NEA6,GLIS3,"Zinc finger protein GLIS3",,"GLIS3_HUMAN, GLIS3, ZNF515",Nucleus,"Q8NEA6 GLIS3_HUMAN Zinc finger protein GLIS3 Q8NEA6,B1AL19,Q1PHK5 GLI-similar 3, Zinc finger protein 515 ZNF515",nucleus,"GLI C2H2-type zinc-finger protein family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=GLIS3_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q8NEA6/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,Q96JB3,HIC2,"Hypermethylated in cancer 2 protein",,"HIC2_HUMAN, HIC2, HRG22, KIAA1020, ZBTB30",Nucleus,"Q96JB3 HIC2_HUMAN Hypermethylated in cancer 2 protein Q96JB3,Q504T6,Q96KR3,Q9NSM9,Q9UPX9 HIC1-related gene on chromosome 22 protein, Hic-3, Zinc finger and BTB domain-containing protein 30 HRG22, KIAA1020, ZBTB30","nucleoplasm, nucleus","krueppel C2H2-type zinc-finger protein family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=HIC2_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q96JB3/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,Q16665,HIF1A,"Hypoxia-inducible factor 1-alpha",,"HIF1A_HUMAN, HIF1A, BHLHE78, MOP1, PASD8","Cytoplasm, Nucleus, Nucleus speckle","Q16665 HIF1A_HUMAN Hypoxia-inducible factor 1-alpha Q16665,C0LZJ3,Q53XP6,Q96PT9,Q9UPB1 ARNT-interacting protein, Basic-helix-loop-helix-PAS protein MOP1, Class E basic helix-loop-helix protein 78, Member of PAS protein 1, PAS domain-containing protein 8 BHLHE78, MOP1, PASD8","axon cytoplasm, cytoplasm, cytosol, motile cilium, nuclear body, nuclear chromatin, nuclear speck, nucleoplasm, nucleus, protein-containing complex, rna polymerase ii transcription regulator complex, transcription regulator complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=HIF1A_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q16665/,,,,20,5,3,0,0,0,0,0.7,87,1,975,41,18,246,22,9,,,
,Q14527,HLTF,"Helicase-like transcription factor",2.3.2.27,"HLTF_HUMAN, HLTF, HIP116A, RNF80, SMARCA3, SNF2L3, ZBU1","Cytoplasm, Nucleus, Nucleus, Nucleolus, Nucleus, Nucleoplasm","Q14527 HLTF_HUMAN Helicase-like transcription factor Q14527,D3DNH3,Q14536,Q16051,Q7KYJ6,Q86YA5,Q92652,Q96KM9 DNA-binding protein/plasminogen activator inhibitor 1 regulator, HIP116, RING finger protein 80, RING-type E3 ubiquitin transferase HLTF, SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 3, Sucrose nonfermenting protein 2-like 3 HIP116A, RNF80, SMARCA3, SNF2L3, ZBU1","cytosol, membrane, nucleolus, nucleoplasm, nucleus","SNF2/RAD54 helicase family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=HLTF_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q14527/,,,,9,1,7,0,0,5,72,0.35,83,,,,,,,,,,
,P17483,HOXB4,"Homeobox protein Hox-B4",,"HXB4_HUMAN, HOXB4, HOX2F",Nucleus,"P17483 HXB4_HUMAN Homeobox protein Hox-B4 P17483,Q9NTA0 Homeobox protein Hox-2.6, Homeobox protein Hox-2F HOX2F","centrosome, nuclear chromatin, nucleoplasm, nucleus","Antp homeobox family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=HXB4_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P17483/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,P10914,IRF1,"Interferon regulatory factor 1",,"IRF1_HUMAN, IRF1","Nucleus, Cytoplasm","P10914 IRF1_HUMAN Interferon regulatory factor 1 P10914,Q96GG7  ","cytoplasm, cytosol, nuclear chromatin, nucleoplasm, nucleus","IRF family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=IRF1_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P10914/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,P14316,IRF2,"Interferon regulatory factor 2",,"IRF2_HUMAN, IRF2",Nucleus,"P14316 IRF2_HUMAN Interferon regulatory factor 2 P14316,D6RCK5,H0Y8S3,Q6IAS7,Q96B99  ","cytosol, focal adhesion, nuclear chromatin, nucleoplasm, nucleus","IRF family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=IRF2_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P14316/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,Q92985,IRF7,"Interferon regulatory factor 7",,"IRF7_HUMAN, IRF7","Nucleus, Cytoplasm","Q92985 IRF7_HUMAN Interferon regulatory factor 7 Q92985,B9EGL3,O00331,O00332,O00333,O75924,Q9UE79  ","cytoplasm, cytosol, endosome membrane, nuclear chromatin, nucleoplasm, nucleus","IRF family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=IRF7_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q92985/,,,,1,0,1,0,0,1,100,-1.7,61,,,,,,,,,,
,Q8WYK2,JDP2,"Jun dimerization protein 2",,"JDP2_HUMAN, JDP2",Nucleus,"Q8WYK2 JDP2_HUMAN Jun dimerization protein 2 Q8WYK2,J3KN58,O95430,Q9UIE4  ","nuclear chromatin, nucleus","bZIP family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=JDP2_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q8WYK2/,,,,0,0,0,0,0,0,0,0.8,88,,,,,,,,,,
,P05412,JUN,"Transcription factor AP-1",,"JUN_HUMAN, JUN",Nucleus,"P05412 JUN_HUMAN Transcription factor AP-1 P05412,Q6FHM7,Q96G93 Activator protein 1, Proto-oncogene c-Jun, V-jun avian sarcoma virus 17 oncogene homolog, p39 ","cytosol, nuclear chromatin, nuclear chromosome, nuclear euchromatin, nucleoplasm, nucleus, transcription factor ap-1 complex, transcription regulator complex, transcription repressor complex","bZIP family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=JUN_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P05412/,,,,12,4,11,3,28,3,28,0.9,89,1,366,16,12,121,13,10,,,
,P17275,JUNB,"Transcription factor jun-B",,"JUNB_HUMAN, JUNB",Nucleus,"P17275 JUNB_HUMAN Transcription factor jun-B P17275,Q96GH3  ","chromatin, nuclear chromatin, nucleoplasm, transcription factor ap-1 complex, transcription regulator complex","bZIP family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=JUNB_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P17275/,,,,0,0,0,0,0,0,0,-0.85,70,,,,,,,,,,
,P17535,JUND,"Transcription factor jun-D",,"JUND_HUMAN, JUND",Nucleus,"P17535 JUND_HUMAN Transcription factor jun-D P17535,Q53EK9  ","chromatin, nuclear chromatin, nucleoplasm, protein-dna complex, transcription factor ap-1 complex, transcription regulator complex","bZIP family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=JUND_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P17535/,,,,7,0,6,0,0,0,0,-3,59,,,,,,,,,,
,Q13118,KLF10,"Krueppel-like factor 10",,"KLF10_HUMAN, KLF10, TIEG, TIEG1",Nucleus,"Q13118 KLF10_HUMAN Krueppel-like factor 10 Q13118,A8MVH0,B2R794,L0R4P6,L0R679,O75411,Q503B2 EGR-alpha, Transforming growth factor-beta-inducible early growth response protein 1 TIEG, TIEG1","nuclear chromatin, nucleus","Sp1 C2H2-type zinc-finger protein family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=KLF10_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q13118/,,,,1,0,1,0,0,1,100,-0.55,73,1,40,0,0,16,0,0,,,
,O14901,KLF11,"Krueppel-like factor 11",,"KLF11_HUMAN, KLF11, FKLF, TIEG2",Nucleus,"O14901 KLF11_HUMAN Krueppel-like factor 11 O14901,B4DZE7,Q9EPF4 Transforming growth factor-beta-inducible early growth response protein 2 FKLF, TIEG2","cytosol, focal adhesion, nuclear body, nuclear chromatin, nucleoplasm, nucleus","Sp1 C2H2-type zinc-finger protein family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=KLF11_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/O14901/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,Q9Y4X4,KLF12,"Krueppel-like factor 12",,"KLF12_HUMAN, KLF12, AP2REP",Nucleus,"Q9Y4X4 KLF12_HUMAN Krueppel-like factor 12 Q9Y4X4,A8K5T2,L0R3J4,Q5VZM7,Q9UHZ0 Transcriptional repressor AP-2rep AP2REP","cytosol, nuclear chromatin, nucleoplasm","Sp1 C2H2-type zinc-finger protein family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=KLF12_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q9Y4X4/,,,,0,0,0,0,0,0,0,-1,68,,,,,,,,,,
,Q9BXK1,KLF16,"Krueppel-like factor 16",,"KLF16_HUMAN, KLF16, BTEB4, NSLP2",Nucleus,"Q9BXK1 KLF16_HUMAN Krueppel-like factor 16 Q9BXK1 Basic transcription element-binding protein 4, Novel Sp1-like zinc finger transcription factor 2, Transcription factor BTEB4, Transcription factor NSLP2 BTEB4, NSLP2","nuclear chromatin","Sp1 C2H2-type zinc-finger protein family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=KLF16_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q9BXK1/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,Q9Y5W3,KLF2,"Krueppel-like factor 2",,"KLF2_HUMAN, KLF2, LKLF",Nucleus,"Q9Y5W3 KLF2_HUMAN Krueppel-like factor 2 Q9Y5W3,Q6IPC4,Q9UJS5,Q9UKR6 Lung krueppel-like factor LKLF","nuclear chromatin, nucleus","krueppel C2H2-type zinc-finger protein family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=KLF2_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q9Y5W3/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,P57682,KLF3,"Krueppel-like factor 3",,"KLF3_HUMAN, KLF3, BKLF",Nucleus,"P57682 KLF3_HUMAN Krueppel-like factor 3 P57682,Q6PIR1,Q86TN0,Q9P2X6 Basic krueppel-like factor, CACCC-box-binding protein BKLF, TEF-2 BKLF","nuclear chromatin, nucleoplasm","krueppel C2H2-type zinc-finger protein family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=KLF3_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P57682/,,,,0,0,0,0,0,0,0,-1.65,62,,,,,,,,,,
,O43474,KLF4,"Krueppel-like factor 4",,"KLF4_HUMAN, KLF4, EZF, GKLF",Nucleus,"O43474 KLF4_HUMAN Krueppel-like factor 4 O43474,B2R8S4,B3KT79,L0R3I6,L0R4N5,P78338,Q5T3J8,Q5T3J9,Q8N717,Q9UNP3 Epithelial zinc finger protein EZF, Gut-enriched krueppel-like factor EZF, GKLF","cytoplasm, nuclear chromatin, nuclear euchromatin, nucleoplasm, transcription regulator complex","krueppel C2H2-type zinc-finger protein family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=KLF4_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/O43474/,,,,5,0,5,0,0,0,0,-3,59,,,,,,,,,,
,Q13887,KLF5,"Krueppel-like factor 5",,"KLF5_HUMAN, KLF5, BTEB2, CKLF, IKLF",Nucleus,"Q13887 KLF5_HUMAN Krueppel-like factor 5 Q13887,A2TJX0,L0R3U5,L0R4T9,Q9UHP8 Basic transcription element-binding protein 2, Colon krueppel-like factor, GC-box-binding protein 2, Intestinal-enriched krueppel-like factor, Transcription factor BTEB2 BTEB2, CKLF, IKLF","golgi apparatus, intracellular membrane-bounded organelle, nuclear chromatin, nucleoplasm, transcription regulator complex","krueppel C2H2-type zinc-finger protein family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=KLF5_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q13887/,,,,1,0,1,0,0,1,100,-3,59,,,,,,,,,,
,Q99612,KLF6,"Krueppel-like factor 6",,"KLF6_HUMAN, KLF6, BCD1, COPEB, CPBP, ST12",Nucleus,"Q99612 KLF6_HUMAN Krueppel-like factor 6 Q99612,B2RE86,B4DDN0,D3DRR1,F5H3M5,Q5VUT7,Q5VUT8,Q9BT79 B-cell-derived protein 1, Core promoter element-binding protein, GC-rich sites-binding factor GBF, Proto-oncogene BCD1, Suppressor of tumorigenicity 12 protein, Transcription factor Zf9 BCD1, COPEB, CPBP, ST12","cytosol, fibrillar center, intracellular membrane-bounded organelle, nuclear chromatin, nucleolus, nucleoplasm, nucleus","krueppel C2H2-type zinc-finger protein family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=KLF6_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q99612/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,Q13886,KLF9,"Krueppel-like factor 9",,"KLF9_HUMAN, KLF9, BTEB, BTEB1",Nucleus,"Q13886 KLF9_HUMAN Krueppel-like factor 9 Q13886,B2R943,Q16196 Basic transcription element-binding protein 1, GC-box-binding protein 1, Transcription factor BTEB1 BTEB, BTEB1","cytosol, nuclear chromatin, nucleoplasm, nucleus, plasma membrane","Sp1 C2H2-type zinc-finger protein family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=KLF9_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q13886/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,Q6MZP7,LIN54,"Protein lin-54 homolog",,"LIN54_HUMAN, LIN54, CXCDC1, KIAA2037",Nucleus,"Q6MZP7 LIN54_HUMAN Protein lin-54 homolog Q6MZP7,Q32M68,Q32M69,Q6N071,Q76B60 CXC domain-containing protein 1 CXCDC1, KIAA2037","nucleoplasm, nucleus","lin-54 family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=LIN54_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q6MZP7/,,,,1,0,1,0,0,1,100,-3,59,,,,,,,,,,
,Q9Y5Q3,MAFB,"Transcription factor MafB",,"MAFB_HUMAN, MAFB, KRML",Nucleus,"Q9Y5Q3 MAFB_HUMAN Transcription factor MafB Q9Y5Q3,B3KNE1,Q9H1F1 V-maf musculoaponeurotic fibrosarcoma oncogene homolog B KRML","nuclear chromatin, nucleus, transcription regulator complex","bZIP family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=MAFB_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q9Y5Q3/,,,,0,0,0,0,0,0,0,0.85,89,,,,,,,,,,
,Q9ULX9,MAFF,"Transcription factor MafF",,"MAFF_HUMAN, MAFF",Nucleus,"Q9ULX9 MAFF_HUMAN Transcription factor MafF Q9ULX9,B4DV49,Q9Y525 U-Maf, V-maf musculoaponeurotic fibrosarcoma oncogene homolog F ","mitochondrion, nuclear chromatin, nucleoplasm, nucleus","bZIP family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=MAFF_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q9ULX9/,,,,0,0,0,0,0,0,0,-1.8,60,,,,,,,,,,
,O15525,MAFG,"Transcription factor MafG",,"MAFG_HUMAN, MAFG",Nucleus,"O15525 MAFG_HUMAN Transcription factor MafG O15525 V-maf musculoaponeurotic fibrosarcoma oncogene homolog G, hMAF ","nucleoplasm, nucleus","bZIP family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=MAFG_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/O15525/,,,,0,0,0,0,0,0,0,-1.1,67,,,,,,,,,,
,O60675,MAFK,"Transcription factor MafK",,"MAFK_HUMAN, MAFK",Nucleus,"O60675 MAFK_HUMAN Transcription factor MafK O60675,A4D214 Erythroid transcription factor NF-E2 p18 subunit ","nuclear chromatin, nucleoplasm, nucleus","bZIP family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=MAFK_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/O60675/,,,,0,0,0,0,0,0,0,-3,59,1,2,0,0,2,0,0,,,
,P61244,MAX,"Protein max",,"MAX_HUMAN, MAX, BHLHD4","Nucleus, Cell projection, Dendrite","P61244 MAX_HUMAN Protein max P61244,A6NH73,A8K265,A8K4G4,A8K824,P25912,P52163,Q14803,Q96CY8 Class D basic helix-loop-helix protein 4, Myc-associated factor X BHLHD4","cytoplasm, dendrite, mll1 complex, nuclear chromatin, nucleoplasm, nucleus, pml body, protein-dna complex, rna polymerase ii transcription regulator complex","MAX family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=MAX_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P61244/,,,,9,0,9,0,0,1,12,-3,59,1,92,0,0,48,0,0,,,
,P56270,MAZ,"Myc-associated zinc finger protein",,"MAZ_HUMAN, MAZ, ZNF801",Nucleus,"P56270 MAZ_HUMAN Myc-associated zinc finger protein P56270,A8QJL9,C6G496,G5E927,H3BQD6,Q15703,Q8NFN7,Q99443 Pur-1, Purine-binding transcription factor, Serum amyloid A-activating factor-1, Transcription factor Zif87, ZF87, Zinc finger protein 801 ZNF801","nuclear chromatin",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=MAZ_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P56270/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,Q03112,MECOM,"Histone-lysine N-methyltransferase MECOM",2.1.1.-,"MECOM_HUMAN, MECOM, EVI1, MDS1, PRDM3","Nucleus, Nucleus speckle, Cytoplasm","Q03112 MECOM_HUMAN Histone-lysine N-methyltransferase MECOM Q03112,A1L4F3,A8KA00,B7Z8W7,B7ZLQ3,B7ZLQ4,C9JAK0,D3DNP7,E7EQ57,Q13465,Q13466,Q16122,Q5HYI1,Q6FH90,Q6MZS6,Q8NEI5,Q99917 Ecotropic virus integration site 1 protein homolog, MDS1 and EVI1 complex locus protein, Myelodysplasia syndrome 1 protein, Myelodysplasia syndrome-associated protein 1 EVI1, MDS1, PRDM3","cytosol, nuclear speck, nucleoplasm, nucleus",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=MECOM_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q03112/,,,,1,0,0,0,0,0,0,-3,59,,,,,,,,,,
,Q02078,MEF2A,"Myocyte-specific enhancer factor 2A",,"MEF2A_HUMAN, MEF2A, MEF2",Nucleus,"Q02078 MEF2A_HUMAN Myocyte-specific enhancer factor 2A Q02078,B4DFQ7,F6XG23,O43814,Q14223,Q14224,Q59GX4,Q7Z6C9,Q96D14 Serum response factor-like protein 1 MEF2","cytosol, nuclear chromatin, nucleoplasm, nucleus, transcription regulator complex","MEF2 family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=MEF2A_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q02078/,,,,9,2,8,0,0,8,100,-3,59,,,,,,,,,,
,Q14814,MEF2D,"Myocyte-specific enhancer factor 2D",,"MEF2D_HUMAN, MEF2D",Nucleus,"Q14814 MEF2D_HUMAN Myocyte-specific enhancer factor 2D Q14814,D3DVC0,Q14815,Q5T9U5,Q5T9U6  ","cytoplasm, intracellular membrane-bounded organelle, nuclear chromatin, nucleoplasm, nucleus","MEF2 family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=MEF2D_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q14814/,,,,0,0,0,0,0,0,0,0.05,80,1,4,0,0,3,0,0,,,
,Q8IWI9,MGA,"MAX gene-associated protein",,"MGAP_HUMAN, MGA, KIAA0518, MAD5",Nucleus,"Q8IWI9 MGAP_HUMAN MAX gene-associated protein Q8IWI9,B9EGR5,E7ENI0,F5H7K2,Q9H8R3,Q9H9N7,Q9UG69,Q9Y4E9 MAX dimerization protein 5 KIAA0518, MAD5","mll1 complex, nuclear chromatin, nucleoplasm",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=MGAP_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q8IWI9/,,,,0,0,0,0,0,0,0,1.35,93,,,,,,,,,,
,Q96H12,MSANTD3,"Myb/SANT-like DNA-binding domain-containing protein 3",,"MSD3_HUMAN, MSANTD3, C9orf30",,"Q96H12 MSD3_HUMAN Myb/SANT-like DNA-binding domain-containing protein 3 Q96H12,B2RC35,Q5T726,Q5T727,Q5T728  C9orf30",,"MSANTD3 family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=MSD3_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q96H12/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,P28360,MSX1,"Homeobox protein MSX-1",,"MSX1_HUMAN, MSX1, HOX7",Nucleus,"P28360 MSX1_HUMAN Homeobox protein MSX-1 P28360,A0SZU5,A8K3M1,Q96NY4 Homeobox protein Hox-7, Msh homeobox 1-like protein HOX7","nuclear chromatin, nucleoplasm, nucleus","Msh homeobox family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=MSX1_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P28360/,,,,1,0,1,0,0,1,100,-3,59,,,,,,,,,,
